product_id,product_name,category,sub_category,units,revenue,profit,returns,n_orders,monthly_std,monthly_mean,cv,cum_profit_share,abc_class,xyz_class
TEC-CO-10004722,Canon imageCLASS 2200 Advanced Copier,Technology,Copiers,20,14076.824,25199.928,1,5,0.7071067811865475,4.0,0.17677669529663687,0.14436730000411668,A,X
TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,Technology,Copiers,31,13837.732,6407.8932,0,6,1.9235384061671346,6.2,0.31024813002695717,0.1810773350486112,A,X
TEC-MA-10001047,"3D Systems Cube Printer, 2nd Generation, Magenta",Technology,Machines,11,14334.89,3717.9714000000004,0,2,2.1213203435596424,5.5,0.385694607919935,0.20237713767148086,A,X
TEC-MA-10001127,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology,Machines,5,4749.95,2799.984,0,1,,5.0,9.0,0.2184179029520295,A,Z
OFF-BI-10001359,GBC DocuBind TL300 Electric Binding System,Office Supplies,Binders,21,12890.258,2753.7593,0,6,4.381780460041329,4.2,1.043281061914602,0.23419385258975173,A,Z
TEC-MA-10003979,Ativa V4110MDD Micro-Cut Shredder,Technology,Machines,7,4899.93,2400.9657,0,1,,7.0,9.0,0.2479486909175237,A,Z
OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,Appliances,29,7275.8099999999995,2396.1805,0,5,2.9860788111948193,7.25,0.41187293947514747,0.2616761154207808,A,X
TEC-AC-10003033,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Technology,Accessories,25,7664.85,2062.1875,0,7,1.7182493859684491,3.5714285714285716,0.4811098280711657,0.27349013494802865,A,X
TEC-CO-10003763,Canon PC1060 Personal Laser Copier,Technology,Copiers,10,5599.92,1889.973,0,2,0.0,5.0,0.0,0.2843175587045838,A,X
TEC-AC-10002049,Logitech G19 Programmable Gaming Keyboard,Technology,Accessories,32,6530.756,1856.6766,0,8,3.4086724129853865,4.571428571428571,0.7456470903405533,0.2949542314650307,A,Y
TEC-AC-10003870,Logitech Z-906 Speaker sys - home theater - 5.1-CH,Technology,Accessories,14,4657.860000000001,1847.944,0,3,0.5773502691896257,4.666666666666667,0.12371791482634836,0.3055408762300002,A,X
TEC-AC-10003832,Logitech P710e Mobile Speakerphone,Technology,Accessories,66,9895.798,1828.0088,0,15,4.242640687119286,6.0,0.7071067811865476,0.31601331467664046,A,Y
OFF-BI-10000545,GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies,Binders,31,6651.5419999999995,1826.352,0,5,4.08656334834051,6.2,0.6591231207000823,0.3264762615190726,A,Y
TEC-CO-10002095,Hewlett Packard 610 Color Digital Copier / Printer,Technology,Copiers,12,3210.898,1799.964,0,4,0.816496580927726,3.0,0.2721655269759087,0.33678803474257585,A,X
OFF-BI-10003925,Fellowes PB300 Plastic Comb Binding Machine,Office Supplies,Binders,16,5154.87,1753.7148,0,4,4.041451884327381,5.333333333333333,0.7577722283113839,0.3468348519657544,A,Y
TEC-CO-10001046,Canon Imageclass D680 Copier / Fax,Technology,Copiers,10,5694.92,1749.975,0,3,2.3094010767585034,3.3333333333333335,0.692820323027551,0.3568602443329352,A,Y
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,38,7304.126,1732.258,0,9,3.7815340802378077,7.6,0.49757027371550105,0.3667841381778117,A,X
TEC-PH-10001459,Samsung Galaxy Mega 6.3,Technology,Phones,34,12370.707999999999,1696.7595999999999,1,5,3.415650255319866,8.5,0.40184120650821953,0.37650466603837,A,X
TEC-CO-10003236,Canon Image Class D660 Copier,Technology,Copiers,7,4022.9339999999997,1691.9718,0,2,2.1213203435596424,3.5,0.6060915267313264,0.3861977651793321,A,Y
TEC-MA-10003673,Hewlett-Packard Desktjet 6988DT Refurbished Printer,Technology,Machines,5,3436.5,1668.205,0,1,,5.0,9.0,0.39575470723501444,A,Z
OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,Office Supplies,Binders,14,5047.192,1641.0576,1,5,1.9148542155126764,3.5,0.5471012044321932,0.40515612516220995,A,Y
OFF-BI-10004600,Ibico Ibimaster 300 Manual Binding System,Office Supplies,Binders,13,4637.684,1637.5555,0,5,1.3416407864998738,2.6,0.5160156871153361,0.4145374799875845,A,Y
TEC-AC-10001838,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,Technology,Accessories,17,2976.83,1461.9269000000002,0,5,2.3021728866442674,3.4,0.6771096725424316,0.4229126800816637,A,Y
TEC-MA-10000010,Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer,Technology,Machines,8,3040.0,1459.2,0,1,,8.0,9.0,0.431272258099744,A,Z
OFF-BI-10003091,GBC DocuBind TL200 Manual Binding Machine,Office Supplies,Binders,19,3728.68,1328.2014,0,4,0.4999999999999999,4.75,0.10526315789473682,0.4388813611884389,A,X
FUR-CH-10004086,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,Furniture,Chairs,22,5799.081,1190.2584,1,4,3.872983346207417,5.5,0.7041787902195303,0.4457002057309797,A,Y
TEC-AC-10004666,Maxell iVDR EX 500GB Cartridge,Technology,Accessories,10,2032.3999999999999,1184.8220000000001,0,2,2.8284271247461903,5.0,0.565685424949238,0.4524879058039909,A,Y
OFF-AP-10003057,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,Office Supplies,Appliances,11,3029.0699999999997,1181.3373,0,2,2.1213203435596424,5.5,0.385694607919935,0.4592556424576493,A,X
OFF-ST-10001526,Iceberg Mobile Mega Data/Printer Cart,Office Supplies,Storage,37,4694.21,1157.5746,0,5,4.669047011971501,7.4,0.6309522989150677,0.4658872455144258,A,Y
OFF-BI-10004390,GBC DocuBind 200 Manual Binding Machine,Office Supplies,Binders,9,3059.0559999999996,1136.646,0,2,3.5355339059327378,4.5,0.7856742013183862,0.47239895118598474,A,Y
TEC-MA-10000488,Bady BDG101FRU Card Printer,Technology,Machines,11,7385.907999999999,1111.9861,1,3,1.1547005383792515,3.6666666666666665,0.3149183286488868,0.47876938331178714,A,X
TEC-CO-10001943,Canon PC-428 Personal Copier,Technology,Copiers,18,3053.85,1091.9454,0,4,4.58257569495584,6.0,0.7637626158259733,0.4850250047226862,A,Y
