Region,Country,State,City
East,United States,Maryland,Gaithersburg
West,United States,California,Los Angeles
Central,United States,Texas,San Antonio
Central,United States,Oklahoma,Broken Arrow
South,United States,North Carolina,Charlotte
East,United States,Pennsylvania,Philadelphia
South,United States,Florida,Jacksonville
West,United States,California,Oakland
Central,United States,Texas,Amarillo
Central,United States,Wisconsin,Franklin
South,United States,North Carolina,Raleigh
West,United States,California,Fresno
East,United States,Ohio,Toledo
West,United States,Washington,Seattle
West,United States,Washington,Longview
East,United States,Ohio,Springfield
East,United States,Ohio,Columbus
South,United States,North Carolina,Concord
East,United States,New Jersey,Westfield
East,United States,Connecticut,Fairfield
East,United States,New York,New York City
East,United States,New Hampshire,Concord
South,United States,Georgia,Columbus
West,United States,California,San Diego
East,United States,New Jersey,Morristown
South,United States,North Carolina,Fayetteville
East,United States,Ohio,Cleveland
East,United States,Vermont,Burlington
South,United States,Mississippi,Gulfport
East,United States,New Jersey,Plainfield
West,United States,California,San Francisco
Central,United States,Illinois,Chicago
Central,United States,Illinois,Rockford
Central,United States,Texas,Dallas
East,United States,New Jersey,Atlantic City
South,United States,Georgia,Atlanta
South,United States,Virginia,Arlington
Central,United States,Texas,Houston
South,United States,Kentucky,Richmond
West,United States,Arizona,Sierra Vista
East,United States,Maryland,Rockville
South,United States,Georgia,Smyrna
South,United States,Tennessee,Chattanooga
South,United States,Virginia,Springfield
East,United States,Ohio,Lancaster
Central,United States,Oklahoma,Tulsa
East,United States,Maryland,Clinton
South,United States,Mississippi,Jackson
East,United States,New Jersey,Belleville
South,United States,Kentucky,Henderson
East,United States,New York,Long Beach
South,United States,Tennessee,Nashville
East,United States,New York,Oceanside
South,United States,Florida,Tampa
Central,United States,Wisconsin,Milwaukee
East,United States,Ohio,Newark
Central,United States,Wisconsin,La Crosse
East,United States,New York,Yonkers
West,United States,Colorado,Denver
East,United States,Delaware,Newark
Central,United States,Texas,Odessa
Central,United States,Indiana,Bloomington
Central,United States,Texas,Round Rock
South,United States,Florida,Miami
Central,United States,Indiana,Mishawaka
East,United States,New Hampshire,Dover
Central,United States,Texas,Fort Worth
West,United States,Arizona,Glendale
Central,United States,Michigan,Jackson
East,United States,Connecticut,Milford
East,United States,Massachusetts,Andover
Central,United States,Minnesota,Eagan
East,United States,New Jersey,Vineland
South,United States,Louisiana,Monroe
West,United States,Arizona,Scottsdale
South,United States,Virginia,Waynesboro
West,United States,California,Riverside
Central,United States,Texas,Harlingen
West,United States,California,Redwood City
Central,United States,Wisconsin,Green Bay
Central,United States,Texas,Bryan
East,United States,Massachusetts,Malden
East,United States,Maryland,Columbia
