sub_category,units_forecast_total_12m,units_forecast_monthly_avg,units_holdout_mape_pct,revenue_forecast_total_12m,revenue_forecast_monthly_avg,revenue_holdout_mape_pct,hist_units,hist_revenue,avg_monthly_units
Accessories,1782.1391304347826,148.51159420289855,29.704141149736564,134122.42612391303,11176.868843659418,22.936738462809732,1748,121858.79,72.83333333333333
Appliances,1066.5026086956523,88.87521739130436,30.81567640469403,91847.97235608695,7653.997696340579,46.41081473305507,1050,80305.247,43.75
Art,1784.2095652173912,148.6841304347826,26.24492332958787,63453.71999999999,5287.809999999999,38.14611758225615,1779,50762.976,74.125
Binders,3275.6260869565212,272.9688405797101,28.764574881019172,214870.45786760867,17905.87148896739,42.09813962381456,3670,174978.39,152.91666666666666
Bookcases,405.3142292490118,33.776185770750985,118.89586421599108,45646.192133003955,3803.8493444169962,122.00516684754324,471,57403.7462,20.47826086956522
Chairs,1101.3565217391301,91.7797101449275,34.67750575436595,161811.76171304347,13484.313476086956,49.55194044762904,1288,181945.99800000002,53.666666666666664
Copiers,94.69117647058826,7.890931372549022,184.84848477812196,48518.78391176471,4043.231992647059,441.97545183245836,142,59735.798,8.352941176470589
Envelopes,328.7,27.391666666666666,69.3297647231431,19279.46136782608,1606.6217806521734,145.71149180376827,463,16542.464,19.291666666666668
Fasteners,386.4521739130435,32.20434782608696,56.17084607995707,19006.547500000008,1583.878958333334,64.02463761795144,540,15205.238000000001,22.5
Furnishings,1649.1391304347826,137.4282608695652,34.42193973200418,110743.52225760865,9228.626854800721,38.603317821526225,2130,92404.838,88.75
Labels,690.9017391304346,57.57514492753622,21.166141874140166,24153.45214608695,2012.7876788405792,21.50552726492517,811,19397.456,33.791666666666664
Machines,154.09090909090912,12.840909090909093,62.31702840123954,22019.650165217387,1834.970847101449,75.00524168756698,250,91987.561,10.869565217391305
Paper,2662.08347826087,221.84028985507248,33.25049694190848,121488.36900869565,10124.030750724638,31.250277693738454,3068,99358.812,127.83333333333333
Phones,1635.6208695652172,136.30173913043475,23.483059500408167,179346.54313565214,14945.545261304345,25.566157678455532,1908,196563.546,79.5
Storage,1564.7921739130436,130.39934782608697,25.980063936993087,148741.02353217392,12395.085294347826,34.391218445122604,1821,150290.178,75.875
Supplies,234.03557312252963,19.50296442687747,70.21216081981825,23069.003940711467,1922.4169950592889,65.26413623219524,408,36720.986,17.73913043478261
Tables,647.2973913043477,53.94144927536231,38.037314224189004,99099.68199391302,8258.306832826085,37.46683307145331,736,119293.743,30.666666666666668
