product_id,product_name,category,sub_category,units,revenue,profit,abc_class,xyz_class,inventory_policy,avg_monthly_demand,safety_stock,reorder_point,recommended_max_stock,stock_action
TEC-CO-10004722,Canon imageCLASS 2200 Advanced Copier,Technology,Copiers,20,14076.824,25199.928,A,X,"CORE - high availability, tight monitoring",1.6666666666666667,1.0,2.0,4.0,"STOCK-UP (high value, stable demand)"
OFF-AP-10002684,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Office Supplies,Appliances,29,3079.868,522.794,A,Y,MANAGE - replenish on forecast,2.4166666666666665,4.0,5.0,8.0,"STOCK-UP (high value, stable demand)"
FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs,Furniture,Chairs,15,3022.76,541.5,A,X,"CORE - high availability, tight monitoring",1.25,2.0,3.0,5.0,"STOCK-UP (high value, stable demand)"
FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings,30,2621.42,544.1220000000001,A,X,"CORE - high availability, tight monitoring",2.5,4.0,5.0,8.0,"STOCK-UP (high value, stable demand)"
TEC-AC-10004975,Plantronics Audio 995 Wireless Stereo Headset,Technology,Accessories,15,1707.25,544.2524999999999,A,Y,MANAGE - replenish on forecast,1.25,4.0,5.0,7.0,"STOCK-UP (high value, stable demand)"
OFF-ST-10003716,Tennsco Double-Tier Lockers,Office Supplies,Storage,34,7287.64,544.5484,A,X,"CORE - high availability, tight monitoring",2.8333333333333335,2.0,3.0,6.0,"STOCK-UP (high value, stable demand)"
TEC-PH-10002885,Apple iPhone 5,Technology,Phones,15,7734.994000000001,552.3555000000001,A,Y,MANAGE - replenish on forecast,1.25,3.0,4.0,6.0,"STOCK-UP (high value, stable demand)"
OFF-BI-10004519,GBC DocuBind P100 Manual Binding Machine,Office Supplies,Binders,11,1607.212,556.033,A,X,"CORE - high availability, tight monitoring",0.9166666666666666,1.0,2.0,3.0,"STOCK-UP (high value, stable demand)"
OFF-AP-10000828,Avanti 4.4 Cu. Ft. Refrigerator,Office Supplies,Appliances,11,2051.78,557.4184,A,X,"CORE - high availability, tight monitoring",0.9166666666666666,1.0,2.0,3.0,"STOCK-UP (high value, stable demand)"
FUR-TA-10001307,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Furniture,Tables,11,3080.215,580.087,A,Y,MANAGE - replenish on forecast,0.9166666666666666,2.0,3.0,4.0,"STOCK-UP (high value, stable demand)"
