product_id,product_name,sub_category,units,revenue,profit,returns_rate_pct,risk_flag,stock_action
TEC-MA-10000418,Cubify CubeX 3D Printer Double Head Print,Machines,7,9323.969000000001,-6239.9792,0.0,LOSS-MAKING;,MINIMISE STOCK
TEC-MA-10004125,Cubify CubeX 3D Printer Triple Head Print,Machines,4,3009.98,-3839.9904,0.0,OBSOLETE-RISK;,REVIEW / PHASE-OUT
TEC-MA-10000822,Lexmark MX611dhe Monochrome Laser Printer,Machines,7,5676.967000000001,-2719.984,0.0,LOSS-MAKING;,MINIMISE STOCK
FUR-TA-10001889,Bush Advantage Collection Racetrack Conference Table,Tables,18,4334.1,-2019.2395999999999,0.0,LOSS-MAKING;,MINIMISE STOCK
OFF-BI-10001120,Ibico EPK-21 Electric Binding System,Binders,8,6437.965999999999,-1285.1932,0.0,LOSS-MAKING;,MINIMISE STOCK
OFF-SU-10002881,Martin Yale Chadless Opener Electric Letter Opener,Supplies,16,12268.902,-1232.5588,25.0,HIGH-RETURN;LOSS-MAKING;,MINIMISE STOCK
FUR-TA-10004289,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Tables,13,1052.5,-986.5625,0.0,LOSS-MAKING;,MINIMISE STOCK
FUR-TA-10004256,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,Tables,17,3869.9,-964.1940000000001,0.0,LOSS-MAKING;,MINIMISE STOCK
TEC-MA-10001695,Zebra GK420t Direct Thermal/Thermal Transfer Printer,Machines,6,703.71,-938.28,0.0,OBSOLETE-RISK;LOSS-MAKING;,REVIEW / PHASE-OUT
TEC-MA-10002210,Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,Machines,7,692.995,-935.9595,0.0,OBSOLETE-RISK;LOSS-MAKING;,REVIEW / PHASE-OUT
TEC-MA-10001148,Okidata MB491 Multifunction Printer,Machines,14,3538.285,-914.118,0.0,LOSS-MAKING;,MINIMISE STOCK
FUR-TA-10001932,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",Tables,15,2968.696,-897.792,0.0,LOSS-MAKING;,MINIMISE STOCK
FUR-TA-10000198,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Tables,13,5322.408,-870.5484,0.0,LOSS-MAKING;,MINIMISE STOCK
FUR-TA-10002958,"Bevis Oval Conference Table, Walnut",Tables,16,2818.192,-751.6224,0.0,LOSS-MAKING;,MINIMISE STOCK
FUR-TA-10001950,Balt Solid Wood Round Tables,Tables,15,5534.178,-647.4105,0.0,LOSS-MAKING;,MINIMISE STOCK
FUR-TA-10002533,BPI Conference Tables,Tables,22,2019.7675,-620.7125,0.0,LOSS-MAKING;,MINIMISE STOCK
OFF-SU-10000151,High Speed Automatic Electric Letter Opener,Supplies,6,8842.662,-589.5108,0.0,OBSOLETE-RISK;LOSS-MAKING;,REVIEW / PHASE-OUT
FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,Bookcases,19,2709.8968,-562.744,0.0,LOSS-MAKING;,MINIMISE STOCK
FUR-TA-10004154,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",Tables,13,416.17,-556.489,0.0,OBSOLETE-RISK;LOSS-MAKING;,REVIEW / PHASE-OUT
FUR-FU-10003806,"Tenex Chairmat w/ Average Lip, 45"" x 53""",Furnishings,19,2058.496,-529.76,0.0,LOSS-MAKING;,MINIMISE STOCK
OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Binders,16,9756.524000000001,-508.3960000000002,0.0,LOSS-MAKING;,MINIMISE STOCK
FUR-CH-10003312,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,Chairs,10,2209.448,-477.666,0.0,LOSS-MAKING;,MINIMISE STOCK
OFF-BI-10004584,GBC ProClick 150 Presentation Binding System,Binders,22,3295.996,-461.3308,0.0,LOSS-MAKING;,MINIMISE STOCK
FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Bookcases,27,1392.277,-454.88480000000004,0.0,LOSS-MAKING;,MINIMISE STOCK
FUR-BO-10004467,Bestar Classic Bookcase,Bookcases,17,1028.9075,-451.95480000000003,0.0,LOSS-MAKING;,MINIMISE STOCK
